,year,cityu
0,1942,1
1,1944,1
2,1946,1
3,1961,1
4,1968,1
5,1969,1
6,1971,1
7,1973,1
8,1978,1
9,1979,1
10,1981,3
13,1982,5
18,1983,2
20,1984,2
22,1985,4
26,1986,2
28,1987,3
31,1988,1
32,1989,6
38,1990,7
45,1991,10
55,1992,5
60,1993,5
65,1994,10
75,1995,19
94,1996,7
101,1997,8
109,1998,10
119,1999,16
135,2000,7
142,2001,16
158,2002,11
169,2003,14
183,2004,10
193,2005,10
203,2006,20
223,2007,10
233,2008,9
242,2009,8
250,2010,7
257,2011,9
266,2012,14
280,2013,14
294,2014,18
312,2015,8
320,2016,5
325,2017,6
331,2018,5
