,year,cityu
0,1942,1
1,1944,1
2,1946,1
3,1961,1
4,1968,1
5,1969,1
6,1971,1
7,1973,1
8,1978,1
9,1979,1
10,1981,3
11,1981,3
12,1981,3
13,1982,5
14,1982,5
15,1982,5
16,1982,5
17,1982,5
18,1983,2
19,1983,2
20,1984,2
21,1984,2
22,1985,4
23,1985,4
24,1985,4
25,1985,4
26,1986,2
27,1986,2
28,1987,3
29,1987,3
30,1987,3
31,1988,1
32,1989,6
33,1989,6
34,1989,6
35,1989,6
36,1989,6
37,1989,6
38,1990,7
39,1990,7
40,1990,7
41,1990,7
42,1990,7
43,1990,7
44,1990,7
45,1991,10
46,1991,10
47,1991,10
48,1991,10
49,1991,10
50,1991,10
51,1991,10
52,1991,10
53,1991,10
54,1991,10
55,1992,5
56,1992,5
57,1992,5
58,1992,5
59,1992,5
60,1993,5
61,1993,5
62,1993,5
63,1993,5
64,1993,5
65,1994,10
66,1994,10
67,1994,10
68,1994,10
69,1994,10
70,1994,10
71,1994,10
72,1994,10
73,1994,10
74,1994,10
75,1995,19
76,1995,19
77,1995,19
78,1995,19
79,1995,19
80,1995,19
81,1995,19
82,1995,19
83,1995,19
84,1995,19
85,1995,19
86,1995,19
87,1995,19
88,1995,19
89,1995,19
90,1995,19
91,1995,19
92,1995,19
93,1995,19
94,1996,7
95,1996,7
96,1996,7
97,1996,7
98,1996,7
99,1996,7
100,1996,7
101,1997,8
102,1997,8
103,1997,8
104,1997,8
105,1997,8
106,1997,8
107,1997,8
108,1997,8
109,1998,10
110,1998,10
111,1998,10
112,1998,10
113,1998,10
114,1998,10
115,1998,10
116,1998,10
117,1998,10
118,1998,10
119,1999,16
120,1999,16
121,1999,16
122,1999,16
123,1999,16
124,1999,16
125,1999,16
126,1999,16
127,1999,16
128,1999,16
129,1999,16
130,1999,16
131,1999,16
132,1999,16
133,1999,16
134,1999,16
135,2000,7
136,2000,7
137,2000,7
138,2000,7
139,2000,7
140,2000,7
141,2000,7
142,2001,16
143,2001,16
144,2001,16
145,2001,16
146,2001,16
147,2001,16
148,2001,16
149,2001,16
150,2001,16
151,2001,16
152,2001,16
153,2001,16
154,2001,16
155,2001,16
156,2001,16
157,2001,16
158,2002,11
159,2002,11
160,2002,11
161,2002,11
162,2002,11
163,2002,11
164,2002,11
165,2002,11
166,2002,11
167,2002,11
168,2002,11
169,2003,14
170,2003,14
171,2003,14
172,2003,14
173,2003,14
174,2003,14
175,2003,14
176,2003,14
177,2003,14
178,2003,14
179,2003,14
180,2003,14
181,2003,14
182,2003,14
183,2004,10
184,2004,10
185,2004,10
186,2004,10
187,2004,10
188,2004,10
189,2004,10
190,2004,10
191,2004,10
192,2004,10
193,2005,10
194,2005,10
195,2005,10
196,2005,10
197,2005,10
198,2005,10
199,2005,10
200,2005,10
201,2005,10
202,2005,10
203,2006,20
204,2006,20
205,2006,20
206,2006,20
207,2006,20
208,2006,20
209,2006,20
210,2006,20
211,2006,20
212,2006,20
213,2006,20
214,2006,20
215,2006,20
216,2006,20
217,2006,20
218,2006,20
219,2006,20
220,2006,20
221,2006,20
222,2006,20
223,2007,10
224,2007,10
225,2007,10
226,2007,10
227,2007,10
228,2007,10
229,2007,10
230,2007,10
231,2007,10
232,2007,10
233,2008,9
234,2008,9
235,2008,9
236,2008,9
237,2008,9
238,2008,9
239,2008,9
240,2008,9
241,2008,9
242,2009,8
243,2009,8
244,2009,8
245,2009,8
246,2009,8
247,2009,8
248,2009,8
249,2009,8
250,2010,7
251,2010,7
252,2010,7
253,2010,7
254,2010,7
255,2010,7
256,2010,7
257,2011,9
258,2011,9
259,2011,9
260,2011,9
261,2011,9
262,2011,9
263,2011,9
264,2011,9
265,2011,9
266,2012,14
267,2012,14
268,2012,14
269,2012,14
270,2012,14
271,2012,14
272,2012,14
273,2012,14
274,2012,14
275,2012,14
276,2012,14
277,2012,14
278,2012,14
279,2012,14
280,2013,14
281,2013,14
282,2013,14
283,2013,14
284,2013,14
285,2013,14
286,2013,14
287,2013,14
288,2013,14
289,2013,14
290,2013,14
291,2013,14
292,2013,14
293,2013,14
294,2014,18
295,2014,18
296,2014,18
297,2014,18
298,2014,18
299,2014,18
300,2014,18
301,2014,18
302,2014,18
303,2014,18
304,2014,18
305,2014,18
306,2014,18
307,2014,18
308,2014,18
309,2014,18
310,2014,18
311,2014,18
312,2015,8
313,2015,8
314,2015,8
315,2015,8
316,2015,8
317,2015,8
318,2015,8
319,2015,8
320,2016,5
321,2016,5
322,2016,5
323,2016,5
324,2016,5
325,2017,6
326,2017,6
327,2017,6
328,2017,6
329,2017,6
330,2017,6
331,2018,5
332,2018,5
333,2018,5
334,2018,5
335,2018,5
