,year,cityu
0,1966,1
1,1967,1
2,1974,1
3,1984,1
4,1985,2
5,1985,2
6,1988,1
7,1990,1
8,1993,2
9,1993,2
10,1994,2
11,1994,2
12,1995,5
13,1995,5
14,1995,5
15,1995,5
16,1995,5
17,1996,1
18,1997,3
19,1997,3
20,1997,3
21,1998,10
22,1998,10
23,1998,10
24,1998,10
25,1998,10
26,1998,10
27,1998,10
28,1998,10
29,1998,10
30,1998,10
31,1999,1
32,2000,2
33,2000,2
34,2001,6
35,2001,6
36,2001,6
37,2001,6
38,2001,6
39,2001,6
40,2002,4
41,2002,4
42,2002,4
43,2002,4
44,2003,7
45,2003,7
46,2003,7
47,2003,7
48,2003,7
49,2003,7
50,2003,7
51,2004,4
52,2004,4
53,2004,4
54,2004,4
55,2005,2
56,2005,2
57,2006,2
58,2006,2
59,2007,5
60,2007,5
61,2007,5
62,2007,5
63,2007,5
64,2008,7
65,2008,7
66,2008,7
67,2008,7
68,2008,7
69,2008,7
70,2008,7
71,2009,9
72,2009,9
73,2009,9
74,2009,9
75,2009,9
76,2009,9
77,2009,9
78,2009,9
79,2009,9
80,2010,5
81,2010,5
82,2010,5
83,2010,5
84,2010,5
85,2011,3
86,2011,3
87,2011,3
88,2012,10
89,2012,10
90,2012,10
91,2012,10
92,2012,10
93,2012,10
94,2012,10
95,2012,10
96,2012,10
97,2012,10
98,2013,5
99,2013,5
100,2013,5
101,2013,5
102,2013,5
103,2014,8
104,2014,8
105,2014,8
106,2014,8
107,2014,8
108,2014,8
109,2014,8
110,2014,8
111,2015,6
112,2015,6
113,2015,6
114,2015,6
115,2015,6
116,2015,6
117,2016,6
118,2016,6
119,2016,6
120,2016,6
121,2016,6
122,2016,6
123,2017,6
124,2017,6
125,2017,6
126,2017,6
127,2017,6
128,2017,6
129,2018,2
130,2018,2
131,2019,1
