,year,cuhk
0,1931,1
1,1949,1
2,1950,1
3,1955,1
4,1957,1
5,1959,2
6,1959,2
7,1961,2
8,1961,2
9,1963,1
10,1964,3
11,1964,3
12,1964,3
13,1966,2
14,1966,2
15,1967,2
16,1967,2
17,1970,1
18,1971,3
19,1971,3
20,1971,3
21,1973,1
22,1974,1
23,1976,2
24,1976,2
25,1977,1
26,1979,1
27,1980,3
28,1980,3
29,1980,3
30,1981,4
31,1981,4
32,1981,4
33,1981,4
34,1982,2
35,1982,2
36,1983,4
37,1983,4
38,1983,4
39,1983,4
40,1984,4
41,1984,4
42,1984,4
43,1984,4
44,1985,1
45,1986,4
46,1986,4
47,1986,4
48,1986,4
49,1987,3
50,1987,3
51,1987,3
52,1988,5
53,1988,5
54,1988,5
55,1988,5
56,1988,5
57,1989,7
58,1989,7
59,1989,7
60,1989,7
61,1989,7
62,1989,7
63,1989,7
64,1990,8
65,1990,8
66,1990,8
67,1990,8
68,1990,8
69,1990,8
70,1990,8
71,1990,8
72,1991,8
73,1991,8
74,1991,8
75,1991,8
76,1991,8
77,1991,8
78,1991,8
79,1991,8
80,1992,15
81,1992,15
82,1992,15
83,1992,15
84,1992,15
85,1992,15
86,1992,15
87,1992,15
88,1992,15
89,1992,15
90,1992,15
91,1992,15
92,1992,15
93,1992,15
94,1992,15
95,1993,4
96,1993,4
97,1993,4
98,1993,4
99,1994,15
100,1994,15
101,1994,15
102,1994,15
103,1994,15
104,1994,15
105,1994,15
106,1994,15
107,1994,15
108,1994,15
109,1994,15
110,1994,15
111,1994,15
112,1994,15
113,1994,15
114,1995,10
115,1995,10
116,1995,10
117,1995,10
118,1995,10
119,1995,10
120,1995,10
121,1995,10
122,1995,10
123,1995,10
124,1996,13
125,1996,13
126,1996,13
127,1996,13
128,1996,13
129,1996,13
130,1996,13
131,1996,13
132,1996,13
133,1996,13
134,1996,13
135,1996,13
136,1996,13
137,1997,11
138,1997,11
139,1997,11
140,1997,11
141,1997,11
142,1997,11
143,1997,11
144,1997,11
145,1997,11
146,1997,11
147,1997,11
148,1998,14
149,1998,14
150,1998,14
151,1998,14
152,1998,14
153,1998,14
154,1998,14
155,1998,14
156,1998,14
157,1998,14
158,1998,14
159,1998,14
160,1998,14
161,1998,14
162,1999,15
163,1999,15
164,1999,15
165,1999,15
166,1999,15
167,1999,15
168,1999,15
169,1999,15
170,1999,15
171,1999,15
172,1999,15
173,1999,15
174,1999,15
175,1999,15
176,1999,15
177,2000,17
178,2000,17
179,2000,17
180,2000,17
181,2000,17
182,2000,17
183,2000,17
184,2000,17
185,2000,17
186,2000,17
187,2000,17
188,2000,17
189,2000,17
190,2000,17
191,2000,17
192,2000,17
193,2000,17
194,2001,18
195,2001,18
196,2001,18
197,2001,18
198,2001,18
199,2001,18
200,2001,18
201,2001,18
202,2001,18
203,2001,18
204,2001,18
205,2001,18
206,2001,18
207,2001,18
208,2001,18
209,2001,18
210,2001,18
211,2001,18
212,2002,11
213,2002,11
214,2002,11
215,2002,11
216,2002,11
217,2002,11
218,2002,11
219,2002,11
220,2002,11
221,2002,11
222,2002,11
223,2003,22
224,2003,22
225,2003,22
226,2003,22
227,2003,22
228,2003,22
229,2003,22
230,2003,22
231,2003,22
232,2003,22
233,2003,22
234,2003,22
235,2003,22
236,2003,22
237,2003,22
238,2003,22
239,2003,22
240,2003,22
241,2003,22
242,2003,22
243,2003,22
244,2003,22
245,2004,17
246,2004,17
247,2004,17
248,2004,17
249,2004,17
250,2004,17
251,2004,17
252,2004,17
253,2004,17
254,2004,17
255,2004,17
256,2004,17
257,2004,17
258,2004,17
259,2004,17
260,2004,17
261,2004,17
262,2005,17
263,2005,17
264,2005,17
265,2005,17
266,2005,17
267,2005,17
268,2005,17
269,2005,17
270,2005,17
271,2005,17
272,2005,17
273,2005,17
274,2005,17
275,2005,17
276,2005,17
277,2005,17
278,2005,17
279,2006,16
280,2006,16
281,2006,16
282,2006,16
283,2006,16
284,2006,16
285,2006,16
286,2006,16
287,2006,16
288,2006,16
289,2006,16
290,2006,16
291,2006,16
292,2006,16
293,2006,16
294,2006,16
295,2007,24
296,2007,24
297,2007,24
298,2007,24
299,2007,24
300,2007,24
301,2007,24
302,2007,24
303,2007,24
304,2007,24
305,2007,24
306,2007,24
307,2007,24
308,2007,24
309,2007,24
310,2007,24
311,2007,24
312,2007,24
313,2007,24
314,2007,24
315,2007,24
316,2007,24
317,2007,24
318,2007,24
319,2008,21
320,2008,21
