,title,publisher,author,year,source
0,Sociology,"12th ed. New York : McGraw-Hill, c2010","Schaefer, Richard T.",2010,cityu sociology.csv
1,Sociology,"Fifteenth edition.; Global edition. Harlow, Essex, England : Pearson, 2015","Macionis, John J.",2015,cityu sociology.csv
2,Sociology,"2nd ed. Oxford ; New York : Oxford University Press, 2003","Fulcher, James. Scott, John 1949-",2003,cityu sociology.csv
3,Sociology,"6th ed. [rev. & updated]. Cambridge, UK ; Malden, MA : Polity, 2009","Giddens, Anthony. Sutton, Philip W",2009,cityu sociology.csv
4,Cities in a world economy,"3rd ed. Thousand Oaks, Calif. : Pine Forge Press, c2006","Sassen, Saskia.",2006,cityu sociology.csv
5,Cities in a world economy,"4th ed Thousand Oaks, Calif. : SAGE/Pine Forge c2012",Saskia Sassen,2012,cuhk sociology.csv
6,The archaeology of early China : from prehistory to the Han Dynasty,"New York, NY : Cambridge University Press, 2015","Shelach-Lavi, Gideon author.",2015,cityu sociology.csv
7,The archaeology of early China : from prehistory to the Han Dynasty,"New York, NY : Cambridge University Press 2015",Gideon Shelach-Lavi,2015,cuhk sociology.csv
8,The practice of social research,"Fourteenth edition. Boston, Massachusetts : Cengage Learning, 2016","Babbie, Earl R.",2016,cityu sociology.csv
9,The practice of social research,"13th ed., student ed Belmont, Calif. : Wadsworth Cengage Learning c2013",Earl Babbie,2013,cuhk sociology.csv
10,The practice of social research,"Fourteenth edition Boston, MA : Cengage Learning 2016","Earl Babbie, Chapman University",2016,cuhk sociology.csv
11,Handbook of contemporary China,"Singapore ; Hackensack, NJ : World Scientific Pub., 2012","Zheng, Shusen; So, Alvin Y. 1953-",2012,cityu sociology.csv
12,Handbook of contemporary China,"Singapore ; Hackensack, N.J. : World Scientific Pub., 2012","Tay, William S. Zheng, Shusen; So, Alvin Y. 1953-",2012,cityu sociology.csv
13,Schools and society : a sociological approach to education,"2nd ed. Belmont, CA : Wadsworth/Thomson, c2004","Ballantine, Jeanne H; Spade, Joan Z",2004,cityu sociology.csv
14,Schools and society : a sociological approach to education,3rd ed Los Angeles : Pine Forge Press c2008,"[edited by] Jeanne H. Ballantine, Joan Z. Spade",2008,cuhk sociology.csv
15,Case study research : design and methods,"3rd ed. Thousand Oaks, Calif. : Sage Publications, c2003","Yin, Robert K.",2003,cityu sociology.csv
16,Case study research : design and methods,Fifth edition Los Angeles : SAGE 2014,Robert K. Yin,2014,cuhk sociology.csv
17,Political sociology,"London : Hutchinson, 1979","Bottomore, T. B.",1979,cityu sociology.csv
18,Political sociology,"2nd ed. Chichester : Wiley, c1986","Dowse, Robert Edward. Hughes, J. A. 1941-",1986,cityu sociology.csv
19,China's future,"First edition. Malden, MA : Polity, 2016","Shambaugh, David L. author.",2016,cityu sociology.csv
20,China's future,"Cambridge, UK : Polity 2016",David Shambaugh,2016,cuhk sociology.csv
21,"Learning Chinese : linguistic, sociocultural, and narrative perspectives","Boston : De Gruyter Mouton, 2013","Duff, Patricia 1959- editor of compilation.",2013,cityu sociology.csv
22,"Learning Chinese : linguistic, sociocultural, and narrative perspectives","Berlin ; Boston : De Gruyter Mouton, 2013","Duff, Patricia. Duff, Patricia 1959-",2013,cityu sociology.csv
23,Qualitative inquiry & research design : choosing among five approaches,"3rd ed. Thousand Oaks, Calif. : SAGE, c2013","Creswell, John W. Creswell, John W",2013,cityu sociology.csv
24,Qualitative inquiry & research design : choosing among five approaches,2nd ed Thousand Oaks : Sage Publications c2007,John W. Creswell,2007,cuhk sociology.csv
25,Social psychology,"7th ed. Delmont, Calif. : Wadsworth Pub Co, c2011","DeLamater, John D. Myers, Daniel J",2011,cityu sociology.csv
26,Social psychology,"1th ed. New York, NY : McGraw-Hill, c2013","Myers, David G. Twenge, Jean M. 1971-",2013,cityu sociology.csv
27,Social psychology,"3rd ed. Upper Saddle River, N.J. : Prentice Hall, c2001","Feldman, Robert S. (Robert Stephen), 1947-",2001,cityu sociology.csv
28,What is a case? : exploring the foundations of social inquiry,"Cambridge ; New York : Cambridge University Press, 1992","Ragin, Charles C; Becker, Howard Saul 1928-",1992,cityu sociology.csv
29,What is a case? : exploring the foundations of social inquiry,Cambridge ; New York : Cambridge University Press 1992,edited by Charles C. Ragin and Howard S. Becker,1992,cuhk sociology.csv
30,Qualitative research methods for the social sciences,"7th ed. Boston : Allyn & Bacon, c2009","Berg, Bruce L. (Bruce Lawrence), 1954-",2009,cityu sociology.csv
31,Qualitative research methods for the social sciences,6th ed Boston : Pearson/Allyn & Bacon c2007,Bruce L. Berg,2007,cuhk sociology.csv
32,Qualitative research methods for the social sciences,8th ed Boston : Pearson c2012,"Bruce L. Berg, Howard Lune",2012,cuhk sociology.csv
33,Chinese society in the age of Confucius (1000-250 BC) : the archaeological evidence,"Los Angeles : Cotsen Institute of Archaeology, University of California, 2006","Falkenhausen, Lothar von.",2006,cityu sociology.csv
34,Chinese society in the age of Confucius (1000-250 BC) : the archaeological evidence,"Los Angeles : Cotsen Institute of Archaeology, University of California 2006",Lothar von Falkenhausen,2006,cuhk sociology.csv
35,"The law of peoples ; with, The idea of public reason revisited","Cambridge, Mass. : Harvard University Press, 1999","Rawls, John 1921-2002.",1999,cityu sociology.csv
36,"The law of peoples ; with, The idea of public reason revisited","Cambridge, Mass. : Harvard University Press 1999",John Rawls,1999,cuhk sociology.csv
37,Social research methods,"4th ed. Oxford : Oxford University Press, c2012","Bryman, Alan.",2012,cityu sociology.csv
38,Social research methods,International Edition Oxford : Oxford University Press 2016,Alan Bryman,2016,cuhk sociology.csv
39,Social research methods,Oxford ; New York : Oxford University Press c2012,Alan Bryman,2012,cuhk sociology.csv
40,"Dimensions of Japanese society : gender, margins and mainstream","Houndmills, Basingstoke, Hampshire : Macmillan Press ; New York : St. Martin's Press, 1999","Henshall, Kenneth G.",1999,cityu sociology.csv
41,"Dimensions of Japanese society : gender, margins and mainstream","Basingstoke, Hampshire : Macmillan ; New York : St. Martin's Press 1999",Kenneth G. Henshall,1999,cuhk sociology.csv
