,titles,publishers,authors,years
0,North Korea's hidden revolution : how the information underground is transforming a closed society,New Haven : Yale University Press 2016,Jieun Baek,2016
1,Reputation management : the key to successful public relations and corporate communication,2nd ed New York : Routledge 2011,John Doorley and Helio Fred Garcia,2011
2,Media and cultural studies : keyworks,2nd ed Malden : Wiley-Blackwell 2012,edited by Meenakshi Gigi Durham and Douglas M. Kellner,2012
3,媒介文化論 : 給媒介學習者的15講,1版 台北市 : 群學出版有限公司 2009,吉見俊哉 ; 蘇碩斌譯,2009
4,Social media campaigns : strategies for public relations and marketing,"New York : Routledge, Taylor & Francis Group 2016",Carolyn Mae Kim,2016
5,Ethical practice of social media in public relations,New York : Routledge 2014,edited by Marcia W. DiStaso and Denise Sevick Bortree,2014
6,Corporate communication : a guide to theory & practice,4th edition Los Angeles : SAGE 2014,Joep Cornelissen,2014
7,Corporate communication,6th ed Boston : McGraw-Hill Irwin c2013,Paul A. Argenti,2013
8,How to deliver a TED talk : secrets of the world's most inspiring presentations,Revised and expanded new edition New York : McGraw-Hill Education 2014,Jeremey Donovan ; foreword by Richard St. John ; afterword by Simon Sinek,2014
9,Introduction to communication disorders : a life span perspective,2nd ed Boston : Allyn and Bacon c2003,"Robert E. Owens Jr., Dale E. Metz, Adelaide Haas",2003
10,Introduction to communication disorders : a lifespan evidence-based perspective,Fifth edition Boston : Pearson 2015,"Robert E. Owens, Jr., College of St. Rose, Kimberly A. Farinella, Northern Arizona University, Dale Evan Metz, State University of New York at Geneseo",2015
11,Essentials of communication sciences & disorders,"Second edition Burlington, Massachusetts : Jones & Bartlett Learning 2019",Paul T. Fogle,2019
12,Approaches to media : a reader,London : E. Arnold 1995,edited by Oliver Boyd-Barrett and Chris Newbold,1995
13,Intercultural communication for business,"Mason, OH. USA : South-Western Cengage Learning c2009",Elizabeth A. Tuleja,2009
14,Japanese culture and communication : critical cultural analysis,"Lanham, Md. : University Press of America c1998",Ray T. Donahue,1998
15,Introducing language and intercultural communication,"Milton Park, Abingdon, Oxon : New York, NY : Routledge 2014",Jane Jackson,2014
16,"Ongoing crisis communication : planning, managing, and responding","Fourth edition Thousand Oaks, California : SAGE Publishing, Inc. 2015","W. Timothy Coombs, University of Central Florida",2015
17,Corporate communication : tactical guidelines for strategic practice,1st ed New York : Business Expert Press 2012,Michael B. Goodman and Peter B. Hirsch,2012
18,"Language disorders from infancy through adolescence : listening, speaking, reading, writing, and communicating","Fifth edition St. Louis, Missouri : Elsevier 2018","Rhea Paul, Courtenay Norbury, Carolyn Gosse",2018
19,How to deliver a great TED talk : presentation secrets of the world's best speakers,"San Bernandino, Calif. : CreateSpace? c2012",Akash Karia,2012
20,"Ongoing crisis communication : planning, managing, and responding","3rd ed Thousand Oaks, Calif. : SAGE c2012",W. Timothy Coombs,2012
21,Structures of social action : studies in conversation analysis,Cambridge : Cambridge University Press 1984,edited by J. Maxwell Atkinson and John Heritage,1984
22,How to design TED-worthy presentation slides : presentation design principles from the best TED talks,"San Bernandino, Calif. : CreateSpace? 2015",Akash Karia,2015
23,Communication skills in pharmacy practice : a practical guide for students and practitioners,"6th ed Philadelphia, PA : Wolters Kluwer/Lippincott Williams & Wilkins c2012","[edited by] Robert S. Beardsley, Carole L. Kimberlin, William N. Tindall",2012
24,The Visual culture reader,London ; New York : Routledge 1998,"edited, with introductions by Nicholas Mirzoeff",1998
25,畫中有話 : 近代中國的視覺表述與文化構圖,初版 臺北市 : 中央研究院近代史研究所 民國92 [2003,黃克武主編,2003
26,Visual culture,London ; New York : Routledge 1995,edited by Chris Jenks,1995
27,The shape of practical theology : empowering ministry with theological praxis,"Downers Grove, Ill. : InterVarsity Press c2001",Ray S. Anderson,2001
28,Aquaculture : farming aquatic animals and plants,"2nd ed Chichester, West Sussex ; Hoboken, N.J. : Wiey 2012","edited by John S. Lucas, Paul C. Southgate",2012
29,Orality and literacy : the technologizing of the word,London ; New York : Routledge 2002,Walter J. Ong,2002
30,Applied anatomy & physiology for speech-language pathology & audiology,Philadelphia : Wolters Kluwer Health/Lippincott Williams & Wilkins ©2012,"Donald R. Fuller, Jane T. Pimentel, Barbara M. Peregoy, Donald R. Fuller, Ph.D., CCC-SLP, Jane T. Pimentel, Ph.D., CCC-SLP, Barbara M. Peregoy, Au.D., CCC-A",2012
31,"Architecture in the age of printing : orality, writing, typography, and printed images in the history of architectural theory","Cambridge, Mass. : MIT Press c2001",Mario Carpo ; translated by Sarah Benson,2001
32,Legal writing : a systematic approach,"Fifth edition St. Paul, MN : West Academic 2015",by Diana V. Pratt,2015
33,"Phonetics : transcription, production, acoustics, and perception","Chichester, U.K. ; Malden, MA : Blackwell 2009",Henning Reetz and Allard Jongman,2009
34,Plain English for lawyers,"5th ed Durham, N.C. : Carolina Academic Press c2005",Richard C. Wydick,2005
35,Architectural graphics,4th ed New York : John Wiley c2003,Francis D.K. Ching,2003
36,Architectural graphics,2nd ed New York : Van Nostrand Reinhold 1985,[by] Frank Ching,1985
37,現代廣播學 = Modern radio broadcasting,初版 台北縣深坑鄉 : 威仕曼文化事業股份有限公司 2009,陸中明著,2009
38,Architectural graphics,"5th ed Hoboken, N.J. : John Wiley & Sons c2009",Francis D.K. Ching,2009
39,Culture clash,"Lincolnwood, Ill. : NTC Business Books c1995","Ned Seelye, Alan Seelye-James",1995
40,节目主持艺朮探,第1版 北京 : 北京广播学院出版社 1997,吳郁著,1997
41,Legal writing in plain English : a text with exercises,Second edition Chicago : University of Chicago Press 2013,Bryan A. Garner,2013
42,Childhood communication disorders : organic bases,"Clifton Park, N.Y. : Thomson/Delmar Learning c2004",[edited by] Lisa Schoenbrodt,2004
43,Soft power superpowers : cultural and national assets of Japan and the United States,"Armonk, N.Y. : M.E. Sharpe c2008","Watanabe Yasushi and David L. McConnell, editors ; with a foreword by Joseph S. Nye, Jr",2008
44,British cultural studies : an introduction,2nd ed London ; New York : Routledge 1996,Graeme Turner,1996
45,The craft of research,3rd ed Chicago : University of Chicago Press c2008,"Wayne C. Booth, Gregory G. Colomb, Joseph M. Williams",2008
46,An introduction to theories of popular culture,2nd ed London : Routledge 2004,Dominic Strinati,2004
47,入門ことばの科學,初版 大修館書店 : : 東京 1994,田中春美...[等]著,1994
48,Pleadings without tears : a guide to legal drafting under the civil procedure rules,"Ninth edition Oxford, United Kingdom ; Oxford University Press 2017",William Rose ; revised and updated by Roger Eastman,2017
49,"Writing for social scientists : how to start and finish your thesis, book, or article",2nd ed Chicago : University of Chicago Press 2007,Howard S. Becker ; with a chapter by Pamela Richards,2007
50,Getting ready to negotiate : the Getting to yes workbook,New York : Penguin Books 1995,Roger Fisher and Danny Ertel,1995
51,The social construction of reality : a treatise in the sociology of knowledge,"Harmondsworth : Penguin 1971, c1966",by Peter L. Berger and Thomas Luckmann,1966
52,"閱讀香港普及文化, 1970-2000",修訂版 香港 : 牛津大學出版社 2002,"編者吳俊雄, 張志偉",2002
53,An Introduction to Language,"10th ed Boston, MA : Wadsworth/Cengage Learning c2014","Victoria Fromkin, Robert Rodman, Nina Hyams",2014
54,主持人场景应对技巧,第1版 北京 : 中国广播电视出版社 2003,"李丰, 宋丽萍编著",2003
55,Legal method and writing,Eighth edition New York : Wolters Kluwer 2018,"Charles R. Calleros, Professor of Law, Arizona State Univiversity ; Kimberly Y.W. Holst, Clincial professor of Law, Arizona State Univiversity",2018
56,英國文化硏究導論,初版 台北市 : 亞太圖書出版社 1998,Graeme Turner著 ; 唐維敏譯,1998
57,The social construction of reality : a treatise in the sociology of knowledge,"Garden City, N.Y. : Doubleday 1967",[by] Peter L. Berger and Thomas Luckmann,1967
58,How to do media and cultural studies,"2nd ed Los Angeles, Calif. : SAGE 2013",Jane Stokes,2013
59,Legal writing and analysis in a nutshell,"Fifth edition St. Paul, MN : West Academic Publishing 2017","Lynn Bahrych (J.D. Ph.D., attorney at law), Jeanne Merino (lecturer in residence, director, first-year legal research and writing, Stanford Law School), Beth McLellan (lecturer in residence, Stanford Law School)",2017
60,"Academic legal writing : law review articles, student notes, seminar papers, and getting on law review","Fifth edition St Paul, MN : Foundation Press 2016",Eugene Volokh ; with foreword by Alex Kozinski,2016
61,First language acquisition,Third edition Cambridge : Cambridge University Press 2016,Eve V. Clark,2016
62,Handbook of generative approaches to language acquisition,Dordrecht ; New York : Springer c2011,"Jill de Villiers, Tom Roeper, editors",2011
63,How children learn language,"Cambridge, UK : Cambridge University Press 2005",William O'Grady,2005
64,原初的激情 : 視覺、性慾、民族誌與中國當代電影,初版 台北市 : 遠流出版事業股份有限公司 2001,周蕾(Rey Chow)著 ; 孫紹誼譯,2001
65,ゼロ年代の想像力,再版 東京 : 早川書房 2008,宇野常寛,2008
66,Child language : acquisition and growth,Cambridge ; New York : Cambridge University Press 2006,Barbara C. Lust,2006
67,A lawyer writes : a practical guide to legal analysis,"Second edition Durham, North Carolina : Carolina Academic Press 2013","Christine Coughlin, Joan Malmud Rocklin, Sandy Patrick",2013
68,"Scholarly writing for law students : seminar papers, law review notes and law review competition papers","Fifth Edition St. Paul, MN : West Academic Publishing 2017","Elizabeth Fajans, Mary R. Falk",2017
69,Assessment of language disorders in children,"Mahwah, N.J. : Lawrence Erlbaum Associates 2001",Rebecca J. McCauley,2001
70,Language development,"Fifth edition Belmont, CA : Wadsworth, Cengage Learning 2014","Erika Hoff, Florida Atlantic University",2014
71,Cultural studies : a practical introduction,"Chichester, West Sussex, U.K. ; Malden, MA : Wiley-Blackwell 2010",Michael Ryan with Brett Ingram and Hanna Musiol,2010
72,The elements of legal style,2nd ed New York : Oxford University Press 2002,Bryan A. Garner,2002
73,Blackwell handbook of language development,"Malden, MA ; Oxford : Blackwell Pub. 2007",edited by Erika Hoff and Marilyn Shatz,2007
74,Research methods in second language acquisition : a practical guide,"1st ed Chichester, West Sussex, UK ; Malden, MA : Wiley-Blackwell 2012",edited by Alison Mackey and Susan M. Gass,2012
75,The legal imagination,Abridged ed Chicago : University of Chicago Press 1985,James Boyd White,1985
76,播音主持論,第1版 成都市 : 四川大學出版社 2003,魏薇著,2003
77,Fanning the flames : fans and consumer culture in contemporary Japan,"Albany, NY : State University of New York Press c2004",edited by William W. Kelly,2004
78,The Oxford handbook of developmental linguistics,Oxford : Oxford University Press 2016,"edited by Jeffrey Lidz, William Snyder and Joe Pater",2016
79,Cultural theory and popular culture : a reader,2nd ed New York : Prentice Hall c1998,edited and introduced by John Storey,1998
80,Public relations campaigns and portfolio building,"Upper Saddle River, NJ : Allyn & Bacon c2012",Gemma R. Puglisi,2012
81,The speech chain : the physics and biology of spoken language,"[2nd ed.] New York, N.Y. : W.H. Freeman c1993","Peter B. Denes, Elliot N. Pinson",1993
82,"Just writing : grammar, punctuation, and style for the legal writer",Fifth Edition New York : Wolters Kluwer 2017,"Anne Enquist, Professor Emerita, Seattle University School of Law, Laurel Currie Oates, Professor of Law, Seattle University School of Law, Jeremy Francis, Associate Clinical Professor of Law, Writing Specialist, Michigan State University College of Law",2017
83,传播媒介的历史之光 : 广播电影电视史论,第1版 南京市 : 南京师範大学出版社 2001,"李幸, 刘荃著, 李幸, 刘荃",2001
84,New Taiwanese cinema in focus : moving within and beyond the frame,Edinburgh : Edinburgh University Press 2014,Flannery Wilson,2014
85,Architectural representation and the perspective hinge,"Cambridge, Mass. : Massachusetts Institute of Technology 1997","Alberto Pérez-Gómez, Louise Pelletier",1997
86,Developing communicative competence in a second language,"Boston, Mass. : Heinle & Heinle Publishers c1990","edited by Robin C. Scarcella, Elaine S. Andersen, and Stephen D. Krashen",1990
87,日本中毒,第2版 香港 : 天窗出版 2009,湯禎兆著,2009
88,The Cultural studies reader,London ; New York : Routledge 1993,edited by Simon During,1993
89,"Transport geographies : mobilities, flows and spaces","Malden, MA : Blackwell Pub. 2008","edited by Richard Knowles, Jon Shaw, Iain Docherty",2008
90,Modern transport geography,"2nd, rev. ed Chichester ; New York : Wiley c1998",edited by Brian Hoyle and Richard Knowles on behalf of the Transport Geography Research Group of the Royal Geographical Society with the Institute of British Geographers,1998
91,Child language : acquisition and development,London ; Los Angeles : SAGE Publications 2017,Matthew Saxton,2017
92,Methods for studying language production,"Mahwah, N.J. ; London : Lawrence Erlbaum Associates 2000","edited by Lise Menn, Nan Bernstein Ratner",2000
93,日本語教師のための新しい言語習得概論 = Language acquisition theories for teachers of Japanese,初版 東京 : スリーエーネットワーク 2004,小柳かおる著,2004
94,"Transport systems, policy and planning : a geographical approach","Harlow, Essex : Longman Scientific and Technical ; New York, N.Y. : Wiley 1995",R.S. Tolley and B.J. Turton,1995
95,家庭如何塑造人,初版 台北 : 張老師文化事業股份有限公司 民國83[1994,維琴尼亞・薩提爾原著 ; 吳就君譯著,1994
96,Understanding expertise in teaching : case studies of second language teachers,"Cambridge, UK ; New York : Cambridge University Press 2003",Amy B.M. Tsui,2003
97,Letter writing for lawyers,Hong Kong : Sweet & Maxwell Asia 2003,"Anne Carver, Simon Ng",2003
98,Speech and hearing science : anatomy and physiology,4th ed Boston : Allyn and Bacon 1998,Willard R. Zemlin,1998
99,Speaking of emotions : conceptualisation and expression,Berlin : Mouton de Gruyter 1998,"edited by Angeliki Athanasiadou, Elzbieta Tabakowska, edited by Angeliki Athanasiadou, Elżbieta Tabakowska",1998
100,上海摩登 : 一種新都市文化在中國1930-1945,增訂版 Hong Kong : Oxford University Press China Ltd. 2006,李歐梵 ; 毛尖譯,2006
101,上海摩登 : 一种新都市文化在中囯1930-1945,第1版 北京市 : 北京大学出版社 2001,李欧梵著 ; 毛尖译,2001
102,"Shanghai modern : the flowering of a new urban culture in China, 1930-1945","Cambridge, Mass. : Harvard University Press 1999",Leo Ou-fan Lee,1999
103,The new peoplemaking,"Mountain View, Calif. : Science and Behavior Books c1988",by Virginia Satir,1988
104,Legal English,"Fourth edition Abingdon, Oxon; New York, NY : Routledge 2015",Rupert Haigh,2015
105,Investigations in universal grammar : a guide to experiments on the acquisition of syntax and semantics,"Cambridge, Mass. : MIT Press c1998",Stephen Crain and Rosalind Thornton,1998
106,Methods for assessing children's syntax,"Cambridge, Mass. : MIT Press c1996, 1998","edited by Dana McDaniel, Cecile McKee and Helen Smith Cairns",1998
107,Plain language for lawyers,4th ed Sydney : Federation Press 2010,Michèle M. Asprey,2010
108,现实是过去的未来 [videorecording] = Disorder,"New York, NY : DGenerate Films distributor c2009",文达出品 ; 导演黄伟凯,2009
109,Dictionary of shipping terms,5th ed London : Informa 2007,by Peter R. Brodie,2007
110,ゲーム的リアリズムの誕生 : 動物化するポストモダン. 2,東京 : 講談社 2007,東浩紀,2007
111,Research methods in child language : a practical guide,"Malden, MA : Wiley-Blackwell 2012",edited by Erika Hoff,2012
112,Advertising and promotion : an integrated marketing communications perspective,"10e, Tenth edition New York, NY : McGraw-Hill 2015",George E. Belch & Michael A. Belch,2015
113,Color atlas of microbiology,Chicago : Year Book Medical Publishers c1974,R. J. Olds,1974
114,Translations from drawing to building and other essays,London : Architectural Association c1997,Robin Evans,1997
115,Experimental methods in language acquisition research,Philadelphia : John Benjamins Pub. Co. c2010,"edited by Elma Blom, Sharon Unsworth",2010
116,建立遊戲治療關係實用手冊,初版 台北市 : 五南圖書出版股份有限公司 2008,"Maria Giordano, Garry Landreth, Leslie Jones著 ; 王孟心, 王世芬譯",2008
117,"Language policy, culture, and identity in Asian contexts","Mahwah, N.J. ; London : Lawrence Erlbaum Associates 2007","edited by Amy B.M. Tsui, James W. Tollefson",2007
118,人間開眼 : 從小說與映像窺視下流日本,初版 香港 : 天窗出版 2013,湯禎兆著,2013
119,架構的生態系 : 資訊環境被如何設計至今?,初版 台北市 : 大鴻藝術股份有限公司 2011,濱野智史著 ; 蘇文淑譯,2011
120,"Health behavior and health education : theory, research, and practice","4th ed San Francisco, CA : Jossey-Bass c2008","Karen Glanz, Barbara K. Rimer, K. Viswanath, editors ; foreword by C. Tracy Orleans",2008
121,The Cambridge handbook of child language,New York : Cambridge University Press 2009,edited by Edith L. Bavin,2009
122,"Netter's Atlas of Anatomy for Speech, Swallowing, and Hearing [electronic resource]",2nd ed London : Elsevier Health Sciences 2014,,2014
