,titles,publishers,authors,years
0,Sociological odyssey : contemporary readings in introductory sociology,"3rd ed Belmont, CA : Wadsworth/Cengage Learning c2010","[edited by] Patricia A. Adler, Peter Adler",2010
1,Essentials of sociology,4th ed New York : W. W. Norton & Company c2013,Anthony Giddens ... [et al.],2013
2,"Seeing ourselves : classic, contemporary, and cross-cultural readings in sociology","6th ed Upper Saddle River, N.J. : Pearson/Prentice-Hall c2004","edited by John J. Macionis, Nijole V. Benokraitis",2004
3,Readings for sociology,Eighth edition New York : W. W. Norton & Company 2015,edited by Garth Massey,2015
4,Invitation to sociology : a humanistic perspective,"1st Anchor Books ed Garden City, N.Y. : Anchor Books 1963","Peter L. Berger, Peter Ludwig Berger",1963
5,Sociology : exploring the architecture of everyday life > readings,7th ed Los Angeles : Pine Forge Press c2008,"[edited by] David M. Newman, Jodi O'Brien",2008
6,Sociology : exploring the architecture of everyday life readings,Tenth edition Los Angeles : SAGE 2015,"editor, David M. Newman, Jodi O'Brien, Michelle Robertson",2015
7,Sociological footprints : introductory readings in sociology,"Belmont, CA : Wadsworth/Cengage Learning c2010","[compiled by] Leonard Cargan, Jeanne H. Ballantine",2010
8,Readings for sociology,7th ed New York : W.W. Norton & Co. c2012,edited by Garth Massey,2012
9,The sociology of Georg Simmel,"Glencoe, Ill. : Free Press 1964","translated, edited, and with an introd., by Kurt H. Wolff",1964
10,基礎社會學 = Sociology basics,修訂版 台北市 : 群學出版有限公司 2009,"編著片桐新自, 永井良和, 山本雄二 ; 合著片桐新自 ... [et al.] ; 合譯蘇碩斌, 鄭陸霖",2009
11,The study of social problems : seven perspectives,7th ed Oxford ; New York : Oxford University Press 2011,"edited by Earl Rubington, Martin S. Weinberg",2011
12,The micro-macro link,Berkeley : University of California Press c1987,edited by Jeffrey C. Alexander ... [et al.],1987
13,The sociological imagination,New York : Oxford University Press 1959,,1959
14,On individuality and social forms; selected writings,Chicago : University of Chicago Press 1971,Georg Simmel ; edited and with an introduction by Donald N. Levine,1971
15,Contemporary social problems : an introduction to the sociology of deviant behavior and social disorganization,"New York : Harcourt, & Burlingame 1961",edited by R.K. Merton and Robert A. Nisbet,1961
16,Investigating the social world : the process and practice of research,"8 edition Thousand Oaks, California : SAGE Publications, Inc. 2015","Russell K. Schutt, University of Massachusetts Boston",2015
17,Learning from strangers : the art and method of qualitative interview studies,New York : Free Press ; Toronto : Maxwell Macmillan Canada ; New York : Maxwell Macmillan International c1994,Robert S. Weiss,1994
18,Contentious politics,"Boulder, Colo. : Paradigm Publishers 2007",Charles Tilly and Sidney Tarrow,2007
19,Medical sociology,"12th ed Upper Saddle River, NJ : Pearson Prentice Hall c2012",William C. Cockerham,2012
20,Class and stratification,"3rd ed Cambridge, UK ; Malden, MA : Polity Press 2008",Rosemary Crompton,2008
21,Class counts : comparative studies in class analysis,Cambridge ; New York : Cambridge University Press ; Paris : Maison des sciences de l'homme 1997,Erik Olin Wright,1997
22,"Damned lies and statistics : untangling numbers from the media, politicians, and activists","Updated ed Berkeley, Calif. ; London : University of California Press c2012",Joel Best,2012
23,Social structures,"Princeton, N.J. : Princeton University Press c2009",John Levi Martin,2009
24,Paul Tillich's radical social thought,Atlanta : John Knox Press c1980,Ronald H. Stone,1980
25,Representation,2nd ed London : Sage : The Open University 2013,"edited by Stuart Hall, Jessie Evans and Sean Nixon",2013
26,Approaches to class analysis,"Cambridge, UK ; New York : Cambridge University Press 2005",edited by Erik Olin Wright,2005
27,Civil society,"2nd ed Cambridge, UK ; Malden, MA : Polity Press 2009",Michael Edwards,2009
28,The Student's companion to sociology,Oxford : Blackwell Publishers 1997,"British editors: Jon Gubbay, Chris Middleton ; American editor: Chet Ballard",1997
29,Biblical studies alternatively : an introductory reader,"Upper Saddle River, N.J. : Prentice Hall c2003",[compiled by] Susanne Scholz,2003
30,Thinking about social problems : an introduction to constructionist perspectives,2nd ed New York : Aldine de Gruyter c2003,Donileen R. Loseke,2003
31,World-systems analysis : an introduction,Durham : Duke University Press 2004,Immanuel Wallerstein,2004
32,"Knowledge, education, and cultural change; papers in the sociology of education","{London : Tavistock distributed in the USA by Harper & Row Publishers, Barnes & Noble Import Division 1973",Edited by Richard Brown,1973
33,The social construction of reality : a treatise in the sociology of knowledge,"Harmondsworth : Penguin 1971, c1966",by Peter L. Berger and Thomas Luckmann,1966
34,The social construction of reality : a treatise in the sociology of knowledge,"Garden City, N.Y. : Doubleday 1967",[by] Peter L. Berger and Thomas Luckmann,1967
35,Community and society,New York : Harper & Row c1957,Ferdinand Tönnies,1957
36,Religion in Chinese society : a study of contemporary social functions of religion and some of their historical factors,Berkeley : University of California Press 1970,by C.K. Yang,1970
37,Power : a radical view,Macmillan : : London ; New York : Macmillan 1974,Steven Lukes,1974
38,The social teaching of the Christian churches,London : George Allen & Unwin ; New York : The Macmillan Company 1931,by Ernst Troeltsch ; translated by Olive Wyon ; with an introductory note by Charles Gore,1931
39,The true believer : thoughts on the nature of mass movements,New York : Harper & Row 1966,Eric Hoffer,1966
40,Asia's cultural mosaic : an anthropological introduction,New York : Prentice Hall 1993,"Grant Evans, editor",1993
41,Culture : critical concepts in sociology,London ; New York : Routledge 2003,edited by Chris Jenks,2003
42,The essential Weber : a reader,London ; New York : Routledge 2004,edited by Sam Whimster,2004
43,Theology of culture,New York : Oxford University Press 1959,Paul Tillich ; edited by Robert C. Kimball,1959
44,表征 : 文化表象与意指实踐,第1版 北京 : 商务印书馆 2003,"斯图尔特・霍尔编 ; 徐亮, 陆兴华译",2003
45,Hong Kong divided? : structures of social inequality in the twenty-first century,"Hong Kong : Hong Kong Institute of Asia-Pacific Studies, Chinese University of Hong Kong 2011","edited by Stephen Wing-Kai Chiu, Siu-lun Wong",2011
46,From sociology to cultural studies : new perspectives,"Malden, Mass. : Blackwell Publishers 1997",edited by Elizabeth Long,1997
47,文化研究智典,台北縣永和市 : 韋伯文化國際出版有限公司 2007,作者Chris Barker ; 譯者許夢芸,2007
48,Culture and society : contemporary debates,Cambridge ; New York : Cambridge University Press 1990,"edited by Jeffrey C. Alexander, Steven Seidman",1990
49,Consumer culture and modernity,"Cambridge, UK : Polity Press ; Cambridge, MA : Blackwell Publishers 1997",Don Slater,1997
50,文化硏究 : 理論與實踐,二版 臺北市 : 五南圖書出版公司 2010,Chris Barker著 ; 羅世宏主譯,2010
51,Reinstating class : a structural and developmental study of Hong Kong society,"Hong Kong : Social Sciences Research Centre, University of Hong Kong 1992","Thomas W.P. Wong, Tai-lok Lui",1992
52,The New institutionalism in organizational analysis,Chicago : University of Chicago Press 1991,edited by Walter W. Powell and Paul J. DiMaggio,1991
53,"Writing for social scientists : how to start and finish your thesis, book, or article",2nd ed Chicago : University of Chicago Press 2007,Howard S. Becker ; with a chapter by Pamela Richards,2007
54,Leadership without easy answers,"Cambridge, Mass. : Belknap Press of Harvard University Press 1994",Ronald A. Heifetz,1994
55,Writings in social philosophy and ethics = Sozialphilosophische und ethische Schriften,Berlin ; New York : De Gruyter ; Berlin : Evangelisches Verlagswerk 1998,Paul Tillich ; edited by Erdmann Sturm,1998
56,Understanding deviance : a guide to the sociology of crime and rule-breaking,6th ed Oxford ; New York : Oxford Univ Press 2011,"David Downes, Paul Rock",2011
