,titles,publishers,authors,years
0,Human communication : the basic course,"Thirteenth edition. Boston : Pearson Education, 2015","DeVito, Joseph A. author.",2015
1,Human communication : the basic course,"Fourteenth edition. Place of publication not identified : Pearson, 2018","DeVito, Joseph A. 1938- author.",2018
2,Media technology and society : a history : from the telegraph to the Internet,"London ; New York : Routledge, 1998","Winston, Brian author. Winston, Brian",1998
3,"Communication, technology and society","London : SAGE, 2002","Green, Lelia 1956-",2002
4,Intercultural communication : a discourse approach,"3rd ed. Chichester, West Sussex ; Malden, MA : Wiley-Blackwell, 2012","Scollon, Ronald 1939- Scollon, Suzanne B. K; Jones, Rodney H",2012
5,Close encounters : communication in relationships,"Fifth edition. Thousand Oaks, California : SAGE Publications, Inc., 2018","Guerrero, Laura K. author. Andersen, Peter A. author.; Afifi, Walid A. author.",2018
6,"Communication research : asking questions, finding answers","Fourth Edition. New York : McGraw-Hill Education, 2015]","Keyton, Joann.",2015
7,"Communication theories : perspectives, processes, and contexts","Boston, Mass. : McGraw-Hill, c2002","Miller, Katherine 1959-",2002
8,The media : an introduction,"3rd ed. New York : Pearson Education, 2010","Albertazzi, Daniele 1968-; Cobley, Paul 1963-",2010
9,Media today : mass communication in a converging world,"6th edition. New York, NY : Routledge, 2017","Turow, Joseph. author.",2017
