,titles,publishers,authors,years
0,Sociological odyssey : contemporary readings in introductory sociology,"3rd ed Belmont, CA : Wadsworth/Cengage Learning c2010","[edited by] Patricia A. Adler, Peter Adler",2010
1,Essentials of sociology,4th ed New York : W. W. Norton & Company c2013,Anthony Giddens ... [et al.],2013
2,"Seeing ourselves : classic, contemporary, and cross-cultural readings in sociology","6th ed Upper Saddle River, N.J. : Pearson/Prentice-Hall c2004","edited by John J. Macionis, Nijole V. Benokraitis",2004
3,Readings for sociology,Eighth edition New York : W. W. Norton & Company 2015,edited by Garth Massey,2015
4,Invitation to sociology : a humanistic perspective,"1st Anchor Books ed Garden City, N.Y. : Anchor Books 1963","Peter L. Berger, Peter Ludwig Berger",1963
5,Sociology : exploring the architecture of everyday life > readings,7th ed Los Angeles : Pine Forge Press c2008,"[edited by] David M. Newman, Jodi O'Brien",2008
6,Sociology : exploring the architecture of everyday life readings,Tenth edition Los Angeles : SAGE 2015,"editor, David M. Newman, Jodi O'Brien, Michelle Robertson",2015
7,Sociological footprints : introductory readings in sociology,"Belmont, CA : Wadsworth/Cengage Learning c2010","[compiled by] Leonard Cargan, Jeanne H. Ballantine",2010
8,Readings for sociology,7th ed New York : W.W. Norton & Co. c2012,edited by Garth Massey,2012
9,The sociology of Georg Simmel,"Glencoe, Ill. : Free Press 1964","translated, edited, and with an introd., by Kurt H. Wolff",1964
